gene_symbol,Trp53i11
analysis_id,1f546azg7c7136w
parameter_name,White blood cell-count
mouse_strain,C57BL
pvalue,0.3816976
parameter_id,M-G-P_016_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
