parameter_name,Anophthalmia
pvalue,0.3715828
analysis_id,hhnvm9m1bf34z1h
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
