gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
analysis_id,d712zdo080hu5rm
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
pvalue,0.1397027
