analysis_id,2me76x4rdyeh659
gene_symbol,Bcs1l
parameter_id,IMPC_EYE_056_001
mouse_strain,C57BL
parameter_name,Mean left eye lens density
gene_accession_id,MGI:1914071
pvalue,0.1681866
mouse_life_stage,Early adult
