analysis_id,lphc3ylluzabtu2
parameter_id,IMPC_CBC_025_001
gene_symbol,Inpp1
gene_accession_id,MGI:104848
pvalue,0.8019322
mouse_life_stage,Early adult
parameter_name,LDL-cholesterol
mouse_strain,C57BL
