parameter_name,cDCs CD11b Type
mouse_life_stage,Early adult
analysis_id,8p97pi6qb51jcl0
pvalue,0.2796369
mouse_strain,C57BL
gene_accession_id,MGI:2181659
parameter_id,IMPC_IMM_073_001
gene_symbol,Tox
