parameter_name,Weight
mouse_strain,C57BL
pvalue,0.6992349
parameter_id,CCP_LFO_001_001
gene_symbol,Cntfr
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
analysis_id,3o4737gxx1s7gw5
