analysis_id,g168a55xd3cjx8h
gene_symbol,Sfpq
parameter_name,Startle response
parameter_id,ESLIM_008_001_013
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
pvalue,0.5642942
mouse_strain,C57BL
