analysis_id,fcu7870qj6qeol8
gene_symbol,Ddx27
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
mouse_strain,C57BL
pvalue,0.5408546
parameter_name,Limb morphology
