parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
pvalue,0.8109587
analysis_id,24a8ragzm7gcdgh
gene_accession_id,MGI:1914944
mouse_strain,C57BL
gene_symbol,Ift74
mouse_life_stage,Early adult
