analysis_id,5x19ji25dp008k5
gene_accession_id,MGI:1923959
parameter_name,Skull shape
mouse_strain,C57BL
pvalue,0.1350663
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
gene_symbol,Arpc2
