analysis_id,o32411g769o8221
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,E12.5
gene_symbol,Mecom
mouse_strain,C57BL
gene_accession_id,MGI:95457
pvalue,0.1644384
parameter_name,Distance travelled - total
