parameter_name,Response amplitude - S
pvalue,0.8009401
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:1917810
analysis_id,2y4p040pn76d946
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,E9.5
