analysis_id,nsu63674r694f8z
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Tbl1xr1
pvalue,0.5498191
gene_accession_id,MGI:2441730
parameter_id,MGP_MLN_076_001
