analysis_id,85j8802945n01je
pvalue,0.07882641
gene_accession_id,MGI:1914944
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ift74
parameter_id,MGP_BMI_014_001
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
