gene_symbol,Tnni1
pvalue,1.456701
analysis_id,268l7ti777i395o
mouse_strain,C57BL
parameter_name,Snout morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,MGP_CSD_066_001
