analysis_id,b528jaj4y68a4z1
pvalue,0.9414125
parameter_id,M-G-P_012_001_005
parameter_name,Body Weight
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:97054
gene_symbol,Mov10
