parameter_name,Cornea vascularisation
pvalue,0.2120502
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
analysis_id,z88jfxc30mtl563
parameter_id,ESLIM_014_001_008
gene_symbol,Ahcy
mouse_strain,C57BL
