analysis_id,m3o522400804jd6
mouse_strain,C57BL
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
pvalue,0.3628467
