analysis_id,hod4h332o1cgo07
pvalue,0.514796
mouse_strain,C57BL
parameter_name,Monocytes
gene_symbol,Wars2
parameter_id,IMPC_IMM_051_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
