parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
pvalue,0.619238
analysis_id,5gd250206lg8ad4
mouse_life_stage,Early adult
gene_accession_id,MGI:1925427
gene_symbol,Ninl
mouse_strain,C52BL
