analysis_id,l8y5o8of082d3f4
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
pvalue,0.8350388
parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
