analysis_id,36j80k5rsd299no
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1914309
parameter_id,IMPC_GEO_011_001
gene_symbol,Ola1
mouse_strain,C57BL
pvalue,0.4550734
mouse_life_stage,Early adult
