parameter_id,IMPC_GEL_029_001
pvalue,0.9361
parameter_name,Midbrain
analysis_id,w06q7cs241ib5im
gene_accession_id,MGI:1915087
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Tiprl
