analysis_id,w6n0a0782f64mp0
parameter_name,Shape of ribcage
gene_symbol,Slc30a4
mouse_life_stage,Early adult
pvalue,0.5369117
gene_accession_id,MGI:1345282
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
