parameter_name,Ulna
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0z6586oh959w52r
gene_accession_id,MGI:1915087
parameter_id,IMPC_XRY_023_001
gene_symbol,Tiprl
pvalue,0.5035801
