gene_symbol,Col6a3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_026_001
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.8540565
analysis_id,1p94m87x856ur51
gene_accession_id,MGI:88461
