gene_symbol,Atrn
mouse_life_stage,Early adult
parameter_name,Neutrophil percentage
analysis_id,i3onb051317kf0z
gene_accession_id,MGI:1341628
pvalue,0.5204446
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
