analysis_id,4i99u6c7yp5gqcc
mouse_strain,C57BL
gene_symbol,Cdin1
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
parameter_name,Transitional 1 B cells - % of CD45+
parameter_id,MGP_IMM_110_001
pvalue,0.6943861
