analysis_id,b2l2j0jd499507q
parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
gene_symbol,Npbwr1
pvalue,0.9148008
gene_accession_id,MGI:891989
