analysis_id,82eig5w0wj3d7f0
pvalue,0.3325771
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
