gene_symbol,Lpgat1
pvalue,0.3202896
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
analysis_id,178iu446r454nx8
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
