parameter_name,Hemorrhage
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
analysis_id,2hzd4w8n55h0zk7
gene_accession_id,MGI:97838
pvalue,0.681754
gene_symbol,Eprs1
