analysis_id,v1n6acm38osg75n
mouse_life_stage,Early adult
pvalue,0.8957233
parameter_id,IMPC_CBC_024_001
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_strain,C57BL
