analysis_id,4dm414823593id3
mouse_strain,C57BL
pvalue,0.5297255
gene_symbol,Mapkap1
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
parameter_name,Limb morphology
parameter_id,IMPC_GEP_084_001
