parameter_name,Vibrissae - appearance
analysis_id,74w59880160785g
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
gene_symbol,Rab13
gene_accession_id,MGI:1927232
pvalue,0.1901109
mouse_strain,C57BL
