gene_symbol,Trpa1
parameter_name,cDCs CD11b Type
mouse_strain,C57BL
analysis_id,2620uli34f4wx6y
gene_accession_id,MGI:3522699
parameter_id,IMPC_IMM_073_001
pvalue,0.405541
mouse_life_stage,Early adult
