gene_symbol,Trdmt1
parameter_name,Periphery average speed
mouse_strain,C57BL
analysis_id,50z2r9r126ednki
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
pvalue,0.667367
parameter_id,IMPC_OFD_013_001
