analysis_id,5r16hf042e03q2t
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
parameter_id,MGP_IMM_004_001
gene_symbol,Psd4
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,0.7582085
mouse_strain,C57BL
