parameter_name,ST
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
gene_symbol,Lpgat1
pvalue,0.1540849
analysis_id,y4v390n33o5100m
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
