analysis_id,900xi14f29d1120
mouse_strain,C53BL
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_name,Mean cell volume
gene_accession_id,MGI:1920638
pvalue,1.398521
parameter_id,IMPC_HEM_005_001
