parameter_name,Radius
mouse_life_stage,Early adult
pvalue,0.4533236
parameter_id,IMPC_XRY_022_001
analysis_id,rt8l9293a247s7y
gene_accession_id,MGI:1933159
mouse_strain,C57BL
gene_symbol,Rnf114
