parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5093096
gene_accession_id,MGI:88380
gene_symbol,F2
analysis_id,5p12277344m21hw
parameter_name,Placenta Morphology
