parameter_name,Platelet count
mouse_strain,C57BL
analysis_id,26c7gb3szq817mx
gene_accession_id,MGI:1916220
pvalue,0.5508753
mouse_life_stage,Early adult
gene_symbol,Dcaf12
parameter_id,IMPC_HEM_008_001
