parameter_name,Radius
mouse_strain,C57BL
analysis_id,89c9830u4ni9285
gene_symbol,Tubb4b
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
pvalue,0.8601419
gene_accession_id,MGI:1915472
