analysis_id,28b25m5zu99g080
pvalue,0.193934
gene_symbol,Eprs1
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:97838
parameter_name,Snout morphology
mouse_strain,C57BL
mouse_life_stage,E9.5
