analysis_id,1sy918jaq825fy8
parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:105073
gene_symbol,Tnni1
pvalue,0.7023361
mouse_life_stage,Early adult
