parameter_name,Aspartate aminotransferase
analysis_id,kyx0c6371mmbbkz
pvalue,0.2296565
gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
