parameter_name,Zygomatic bone
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
pvalue,0.5502898
analysis_id,34kwl9hbm063u59
mouse_life_stage,Early adult
