analysis_id,k367044v308s9yl
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
pvalue,0.9080444
mouse_life_stage,Early adult
gene_symbol,Lpgat1
