analysis_id,06sas9yz5b5bd7w
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
pvalue,0.7068873
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
mouse_life_stage,Early adult
