analysis_id,f19s56f92eas6cr
pvalue,1.199582
parameter_id,ESLIM_005_001_005
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Bone Mineral Content
gene_symbol,Rhbg
