mouse_strain,129SV
gene_symbol,Zmynd8
parameter_name,Periphery - Permanence Time
analysis_id,5vk5d982vnx8a48
pvalue,0.7131337
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_008
