analysis_id,87tvgomyo987058
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_name,Monocyte percentage
mouse_life_stage,E12.5
pvalue,0.1638789
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
