gene_symbol,Gpa33
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
analysis_id,7tp26ct6z81c4lm
pvalue,0.6970231
gene_accession_id,MGI:1891703
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
