analysis_id,3ef2t32hcm1l622
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7244414
parameter_name,Thyroxine
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
parameter_id,IMPC_CBC_053_001
