parameter_name,Total T cell percentage
analysis_id,9yv8209z39464tf
gene_accession_id,MGI:1918345
pvalue,0.9614866
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kif24
