gene_symbol,Hrnr
analysis_id,95n42lhof38s7up
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
pvalue,0.1263015
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
