gene_symbol,Gfi1b
pvalue,0.1715777
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8cw17w90qtfl6no
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
gene_accession_id,MGI:1276578
