analysis_id,467i831tc486ywo
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4957591
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:1341628
gene_symbol,Atrn
parameter_name,Neural tube closure
