gene_symbol,Gfi1b
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:1276578
parameter_name,110dB startle magnitude
analysis_id,8rnw5jz07u4b3m1
mouse_life_stage,Early adult
pvalue,0.590479
