gene_symbol,Ufc1
analysis_id,2809w75q7567597
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
pvalue,0.07196589
parameter_name,Limb grasping
