analysis_id,16f055h6etyhrqh
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,M-G-P_009_001_003
pvalue,0.497699
parameter_name,Body weight
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
