parameter_name,Number of centre entries
mouse_strain,129SV
analysis_id,r186o1446j9w682
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
pvalue,0.2790342
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
